bestand_id,hogstkl_verdi,bonitet,treslag,arealm2,alder,DN,srhoydeo,srtrean,srgrflate,srvolmb,srvolub,AU,Ht40,height,yearly_height_growth,N_per_hectare,delta_N_per_hectare,G1,G2,volume_per_hectare,volume_per_hectare_next_year,volume_per_hectare_without_bark,volume,volume_next_year,volume_growth_next_year,volume_growth_factor,volume_without_bark,avg_price_m3,gross_value_standing_volume,gross_value_yearly_growth,years_to_maturity,volume_at_maturity,volume_at_maturity_without_bark,gross_value_at_maturity,NPV,carbon_stored,carbon_captured_next_year
1-297,3,14,Gran,7144,45,28,188.8398389,1395.260185,24.77796376,195.6906311,167.8689835,0,10.1,18.88398389,0.3235847921,1395.260185,-13.68161055,24.77796376,25.43455874,206.4964083,216.2496727,179.6518752,147.5210341,154.4887662,6.967732079,0.04723212606,128.3432996,724.4666667,92980.44248,4391.663981,14,255.808529,222.5534203,161232.5345,106593.6995,182723.2408,8630.407146
1-295,3,17,Gran,11878,45,32,193.8909817,1430.785963,26.22214414,212.8664115,183.0093799,0,13.1,19.38909817,0.3317582007,1430.785963,-20.60125164,26.22214414,26.88726352,226.3638299,236.7483877,196.936532,268.8749571,281.2097349,12.33477773,0.04587551725,233.9212127,732.8166667,171421.3634,7864.043712,13,445.7443624,387.7975953,284184.5412,193515.8441,333035.2438,15278.16407
1-291,3,14,Gran,15501,45,41,181.6336702,1510.042773,25.02211727,193.1798885,165.4412273,0,10.1,18.16336702,0.3119073479,1510.042773,-15.25699494,25.02211727,25.68216079,200.7750212,210.237333,174.6742684,311.2213603,325.8888899,14.66752963,0.04712892978,270.7625835,724.4666667,196158.4663,9244.738583,14,539.0672731,468.9885276,339766.5553,224625.7195,385486.5574,18167.56889
1-294,4,17,Furu,7438,70,34,208.6647395,1176.255508,27.38621711,243.0193255,210.3048321,0,13.9,20.86647395,0.2303629992,1176.255508,-14.63778084,27.38621711,27.79313072,252.9909359,259.3308537,220.1021143,188.1746581,192.8902889,4.715630809,0.02505986117,163.7119526,706.6333333,115684.3228,2899.033068,1,195.6274519,170.1958832,120266.0843,116763.1886,233077.8359,5840.898211
1-283,3,17,Gran,10298,35,45,182.4639154,1265.505036,23.72932449,184.9770815,158.8576013,0,13.1,18.24639154,0.409288391,1265.505036,-13.8368178,23.72932449,24.57385978,192.5825017,204.6600484,167.5467764,198.3214602,210.7589179,12.43745767,0.06271362495,172.5396704,732.8166667,126439.9461,7929.507359,20,484.2590086,421.3053375,308739.5731,170941.616,245645.9186,15405.34601
1-279,4,14,Gran,35795,60,64,197.3209449,1377.561747,26.59536077,221.029229,190.3451829,0,10.1,19.73209449,0.242926582,1377.561747,-16.41666556,26.59536077,27.07790585,231.1930435,238.812946,201.1379478,827.5554992,854.8309403,27.27544113,0.03295904764,719.9732843,724.4666667,521596.6454,17191.32869,4,955.8962274,831.6297178,602488.0096,535302.793,1025030.93,33784.04327
1-288,3,14,Furu,4824,40,40,184.2091924,1427.976089,24.97287742,194.5114427,166.7690629,0,11.1,18.42091924,0.4316652178,1427.976089,-1.121803005,24.97287742,25.93087564,201.9270411,214.1827376,175.6765258,97.40960463,103.3217526,5.912148002,0.06069368646,84.74635603,698.9333333,59232.05311,3595.01166,18,215.8888204,187.8232738,131275.9468,77110.78326,120653.9715,7322.934319
1-278,5,14,Furu,25764,100,66,202.5518302,1214.115127,27.43924924,237.127512,205.1608929,0,11.1,20.25518302,0.1362758773,1214.115127,-24.44416749,27.43924924,27.61532821,248.8427346,251.9821088,216.4931791,641.1184215,649.2067051,8.088283671,0.01261589653,557.7730267,698.9333333,389846.1608,4918.258829,0,641.1184215,557.7730267,389846.1608,389846.1608,794105.3048,10018.35036
1-270,3,14,Furu,6431,45,54,190.2211432,1253.835705,25.16514113,200.5057418,172.9228125,0,11.1,19.02211432,0.3827447243,1253.835705,-1.260890406,25.16514113,26.00263869,210.6981145,221.7098452,183.3073596,135.4999575,142.5816015,7.081643995,0.05226307172,117.884963,698.9333333,82393.73013,4306.149428,15,252.0093847,219.2481647,153239.8506,98358.82892,167833.6348,8771.501294
1-259,4,14,Gran,4596,70,65,186.1662155,1297.053059,25.03474102,194.1662155,167.2009565,0,10.1,18.61662155,0.1904502332,1297.053059,-17.32685373,25.03474102,25.4274058,202.2078529,207.8937524,175.9208321,92.93472921,95.54796859,2.613239382,0.02811908319,80.85321441,724.4666667,58575.45874,1647.088197,1,97.25580667,84.6125518,61298.97336,59513.56637,115111.279,3236.82363
1-198,3,17,Gran,81921,35,179,168.9214383,1725.911469,25.48478913,177.0843509,150.8348125,0,13.1,16.89214383,0.3801825879,1725.911469,-21.84697522,25.48478913,26.35190604,193.3604809,205.1449169,168.2236184,1584.028396,1680.567674,96.53927782,0.06094542123,1378.104704,732.8166667,1009898.096,61548.66484,20,3778.687335,3287.457981,2409104,1333862.474,1962017.172,119575.963
1-240,3,14,Furu,11514,55,94,178,1133,23,172,148,0,11.1,17.8,0.2867281015,1133,-2.097119799,23,23.62763137,183.2378954,190.9786294,159.416969,210.9801128,219.8927939,8.912681133,0.04224417656,183.5526981,698.9333333,128291.0991,5419.551842,11,318.1545225,276.7944346,193460.8568,139760.2392,261325.2422,11039.46967
1-234,3,17,Furu,8532,45,120,185.8105737,1696.922936,29.6799976,240.0143084,206.5590191,0,13.9,18.58105737,0.3772762769,1696.922936,-6.94699851,29.6799976,30.5374616,241.9809564,253.6210277,210.5234321,206.458152,216.3894609,9.931308837,0.04810325357,179.6185923,706.6333333,126924.4846,6105.480665,11,322.5398366,280.6096578,198288.1379,143247.5697,255724.2285,12301.16741
1-221,3,17,Furu,22490,50,140,191.3166288,1572.592087,29.51777777,247.4457444,213.4765489,0,13.9,19.13166288,0.3378159959,1572.592087,-8.54442713,29.51777777,30.257689,248.3478592,258.6927886,216.0626375,558.5343353,581.8000815,23.2657462,0.04165499724,485.9248717,706.6333333,343370.7118,14303.10605,8,758.5915568,659.9746544,466360.09,368148.9615,691814.591,28817.53488
1-275,4,14,Gran,10375,60,52,195.6400134,1258.510192,26.40994208,225.9911982,195.4422129,0,10.1,19.56400134,0.2410089736,1258.510192,-14.3638537,26.40994208,26.89195956,227.3633559,234.8873503,197.8061196,235.8894817,243.6956259,7.806144216,0.03309237936,205.2238491,724.4666667,148677.8379,4920.103414,4,272.6382487,237.1952764,171840.0712,152677.6776,292178.6093,9668.88538
1-274,4,17,Gran,29846,60,62,213.8626739,1343.181364,29.67806071,279.0462107,242.3004571,0,13.1,21.38626739,0.2617495728,1343.181364,-26.0888699,29.67806071,30.16925743,284.5313915,293.3593192,247.5423106,849.212391,875.560224,26.34783305,0.03102619949,738.8147801,732.8166667,541415.7845,16798.07413,1,892.0421216,776.0766458,568721.9006,552157.1851,1051855.698,32635.08471
1-277,4,20,Gran,10134,60,51,226.1014542,1360.394513,32.47254815,327.176199,284.5190358,0,15.9,22.61014542,0.2756235428,1360.394513,-44.38319038,32.47254815,32.96419975,333.8347557,343.6265021,290.4362375,338.3081414,348.2310972,9.922955792,0.02933111733,294.3280831,718.9,211592.4589,6206.243239,1,354.227486,308.1779129,221549.1016,215096.2151,419036.9217,12290.82112
1-268,4,20,Gran,9659,50,58,224.4860988,1341.86599,32.0115372,325.1000955,282.6493559,0,15.9,22.44860988,0.3387358966,1341.86599,-32.70417142,32.0115372,32.62379689,328.5470013,340.6017675,285.8358912,317.3435486,328.9872472,11.64369865,0.03669114656,276.0888873,718.9,198480.3011,7282.469816,7,407.4610327,354.4910984,254843.6506,207211.2091,393069.6529,14422.17624
1-272,3,20,Gran,11701,40,53,197.9883009,1772.555787,30.95491849,263.7687735,226.7880781,0,15.9,19.79883009,0.3843620074,1772.555787,-38.88013446,30.95491849,31.73792026,281.6225367,295.1071196,245.0116069,329.5265302,345.3048406,15.77831038,0.04788176045,286.6880813,718.9,206100.0616,9868.433781,14,570.079263,495.9689588,356552.0845,235722.9318,408159.7985,19543.4097
1-273,3,17,Gran,13654,40,59,194.2441672,1754.401239,30.1521882,253.7524114,217.9354309,0,13.1,19.42441672,0.3774437449,1754.401239,-25.21699005,30.1521882,30.93776186,268.0117975,281.088718,233.1702638,365.9433083,383.7985355,17.8552272,0.04879233146,318.3706782,732.8166667,233307.3392,11383.60903,14,639.6294366,556.4776098,407796.0671,269601.2411,453266.5303,22115.93079
1-266,4,14,Gran,29954,65,71,199.2686506,1645.311201,31.45618495,287.9114851,249.1332273,0,10.1,19.92686506,0.2224236265,1645.311201,-23.19298151,31.45618495,31.91346521,282.3808139,290.1930527,245.6713081,845.84349,869.2442701,23.40078008,0.02766561468,735.8838363,724.4666667,533123.3099,14749.18407,1,883.6298295,768.7579517,556939.5107,540717.9716,1047682.893,28984.79122
